react-boilerplate,95,73.1,10.6,100
react-developer-roadmap,1,100.0,8.0,15
react-grid-layout,3,100.0,9.6,100
react-helmet,4,100.0,10.8,58
react-loadable,6,50.0,10.1,85
react-motion,21,100.0,11.6,68
react-native-web,102,42.0,10.3,100
react-testing-library,23,52.3,9.8,100
react-virtualized,137,79.2,10.8,100
react-window,35,42.2,10.5,31
reactjs-interview-questions,4,57.1,7.1,91
react,1,33.3,8.4,100
readme-md-generator,38,100.0,8.6,24
readme.so,17,56.7,5.8,55
RealChar,62,57.9,6.3,34
Recoil,1,12.5,9.5,99
redux-saga,650,84.7,10.7,100
ReLaXed,30,93.8,10.4,16
remote-jobs,2,50.0,7.2,100
responsively-app,121,67.2,6.6,78
return-youtube-dislike,15,100.0,5.4,100
revanced-builder,56,94.9,5.1,36
rollup,3422,80.5,10.5,100
RSSHub,4124,96.9,7.1,100
scalene,23,79.3,8.2,40
Script,79,50.0,5.5,26
scrollreveal,148,88.1,10.5,10
semantic-release,26,100.0,9.8,100
serverless,517,96.1,10.7,100
shadowrocket-rules,3,50.0,10.0,2
sharp,628,76.2,10,100
shepherd,83,85.6,10.0,94
slash,3,60.0,4.9,60
slick,168,94.4,11.3,100
snapdrop,6,26.1,7.4,42
snowpack,266,54.2,10.2,100
social-analyzer,35,92.1,6.2,17
Sortable,786,87.8,10.8,100
spicetify-cli,27,54.0,6.4,83
spug,182,69.7,6.3,8
stitches,113,75.8,9.7,49
strapi,1522,81.2,8.3,100
style2paints,14181,89.2,9.3,8
superagent,29970,17.6,7.1,21
svelte,813,90.5,9.8,100
SysMocap,503,82.6,9.0,1
tailblocks,6,3.0,6.1,7
techxuexi-js,42,91.3,4.2,9
terminalizer,57,96.6,9.3,8
tesseract.js,34,87.2,9.3,73
the-super-tiny-compiler,9,100.0,10.4,5
tips,3,100.0,10.0,68
ToolJet,401,93.0,6.0,100
trilium,9792,86.4,8.5,92
trix,161,97.0,12,53
tsdx,6,66.7,10.0,85
turbo,24,100.0,11.2,92
TwitchAdSolutions,10,90.9,7.5,6
uBlock,2304,86.4,10.1,100
uFuzzy,1206,79.9,9.3,3
umami,132,61.7,8.0,100
UnblockNeteaseMusic,113,95.8,7.8,9
uni-app,28054,88.5,6.4,100
unlighthouse,0,0.0,7.5,13
uPlot,133,85.3,10.0,38
uppy,270,95.4,10.0,100
uptime-kuma,169,96.0,7.1,100
vanillawebprojects,77,97.5,7.3,19
vant-weapp,208,95.4,7.3,100
van,251,98.0,6.5,10
velocity,839,76.3,11.5,44
vivus,115,87.8,10.6,22
Voyager,215,95.6,8.3,12
vue-admin-template,21,84.0,8.1,11
vue-cli,719,97.3,9.3,100
vue-router,997,91.9,10.0,100
Vue.Draggable,415,95.4,10.3,29
vuepress,190,95.5,9.3,100
vuex,138,95.2,10.0,100
WantWords,48,85.7,6.5,2
WatermelonDB,92,70.8,8.7,100
Web-Dev-For-Beginners,156,78.0,6.0,100
web-vitals,19,100.0,10.7,23
WebFundamentals,3351,63.3,11.3,100
WebGL-Fluid-Simulation,115,87.1,7.0,1
WebGPT,25,100.0,8.3,7
webpack-dashboard,38,97.4,10.2,49
webtorrent,49,86.0,9.9,100
wechat-app-mall,1114,82.8,8.5,24
wechat-bot,1,100.0,5.7,10
WeChatVideoDownloader,7,100.0,8.0,1
wekan,3846,89.7,8.8,100
wepy,890,93.1,8.8,100
whatsapp-web.js,432,89.4,6.6,84
why-did-you-render,73,48.0,8.7,27
wifi-card,1,50.0,8.0,44
win11React,24,85.7,3.4,39
win12,128,71.9,2.8,16
winbox,113,84.3,8.3,7
windmill,31,96.9,8.5,46
wouter,34,68.0,9.3,33
